sepallength,,,,,,,sepalwidth
5.1,,,,,,COUNT,150
4.9,,,,,,SUM,876.5
4.7,,,,,,AVG,5.843333333
4.6,,,,,,MIN,4.3
5,,,,,,MAX,7.9
5.4,,,,,,MODE,5
4.6,,,,,,Q1,5.1
5,,,,,,Q2,5.8
4.4,,,,,,Q3,6.4
4.9,,,,,,IQR,
5.4,,,,,,,
4.8,,,,,,,
4.8,,,,,,,
4.3,,,,,,,
5.8,,,,,,,
5.7,,,,,,,
5.4,,,,,,,
5.1,,,,,,,
5.7,,,,,,,
5.1,,,,,,,
5.4,,,,,,,
5.1,,,,,,,
4.6,,,,,,,
5.1,,,,,,,
4.8,,,,,,,
5,,,,,,,
5,,,,,,,
5.2,,,,,,,
5.2,,,,,,,
4.7,,,,,,,
4.8,,,,,,,
5.4,,,,,,,
5.2,,,,,,,
5.5,,,,,,,
4.9,,,,,,,
5,,,,,,,
5.5,,,,,,,
4.9,,,,,,,
4.4,,,,,,,
5.1,,,,,,,
5,,,,,,,
4.5,,,,,,,
4.4,,,,,,,
5,,,,,,,
5.1,,,,,,,
4.8,,,,,,,
5.1,,,,,,,
4.6,,,,,,,
5.3,,,,,,,
5,,,,,,,
7,,,,,,,
6.4,,,,,,,
6.9,,,,,,,
5.5,,,,,,,
6.5,,,,,,,
5.7,,,,,,,
6.3,,,,,,,
4.9,,,,,,,
6.6,,,,,,,
5.2,,,,,,,
5,,,,,,,
5.9,,,,,,,
6,,,,,,,
6.1,,,,,,,
5.6,,,,,,,
6.7,,,,,,,
5.6,,,,,,,
5.8,,,,,,,
6.2,,,,,,,
5.6,,,,,,,
5.9,,,,,,,
6.1,,,,,,,
6.3,,,,,,,
6.1,,,,,,,
6.4,,,,,,,
6.6,,,,,,,
6.8,,,,,,,
6.7,,,,,,,
6,,,,,,,
5.7,,,,,,,
5.5,,,,,,,
5.5,,,,,,,
5.8,,,,,,,
6,,,,,,,
5.4,,,,,,,
6,,,,,,,
6.7,,,,,,,
6.3,,,,,,,
5.6,,,,,,,
5.5,,,,,,,
5.5,,,,,,,
6.1,,,,,,,
5.8,,,,,,,
5,,,,,,,
5.6,,,,,,,
5.7,,,,,,,
5.7,,,,,,,
6.2,,,,,,,
5.1,,,,,,,
5.7,,,,,,,
6.3,,,,,,,
5.8,,,,,,,
7.1,,,,,,,
6.3,,,,,,,
6.5,,,,,,,
7.6,,,,,,,
4.9,,,,,,,
7.3,,,,,,,
6.7,,,,,,,
7.2,,,,,,,
6.5,,,,,,,
6.4,,,,,,,
6.8,,,,,,,
5.7,,,,,,,
5.8,,,,,,,
6.4,,,,,,,
6.5,,,,,,,
7.7,,,,,,,
7.7,,,,,,,
6,,,,,,,
6.9,,,,,,,
5.6,,,,,,,
7.7,,,,,,,
6.3,,,,,,,
6.7,,,,,,,
7.2,,,,,,,
6.2,,,,,,,
6.1,,,,,,,
6.4,,,,,,,
7.2,,,,,,,
7.4,,,,,,,
7.9,,,,,,,
6.4,,,,,,,
6.3,,,,,,,
6.1,,,,,,,
7.7,,,,,,,
6.3,,,,,,,
6.4,,,,,,,
6,,,,,,,
6.9,,,,,,,
6.7,,,,,,,
6.9,,,,,,,
5.8,,,,,,,
6.8,,,,,,,
6.7,,,,,,,
6.7,,,,,,,
6.3,,,,,,,
6.5,,,,,,,
6.2,,,,,,,
5.9,,,,,,,
