sepallength,OL_BOTTOM,OL_TOP,OUTLIER,,,,sepalwidth
5.1,no,"IF(A2<$H$13, ""YES"", ""no"")",no,,,COUNT,150
4.9,no,,,,,SUM,876.5
4.7,no,,,,,AVG,5.843333333
4.6,no,,,,,MIN,4.3
5,no,,,,,MAX,7.9
5.4,no,,,,,MODE,5
4.6,no,,,,,Q1,5.1
5,no,,,,,Q2,5.8
4.4,no,,,,,Q3,6.4
4.9,no,,,,,IQR,#VALUE!
5.4,no,,,,,1.5IQR,
4.8,no,,,,,OL_HIGH,
4.8,no,,,,,OL_LOW,
4.3,no,,,,,,
5.8,no,,,,,,
5.7,no,,,,,,
5.4,no,,,,,,
5.1,no,,,,,,
5.7,no,,,,,,
5.1,no,,,,,,
5.4,no,,,,,,
5.1,no,,,,,,
4.6,no,,,,,,
5.1,no,,,,,,
4.8,no,,,,,,
5,no,,,,,,
5,no,,,,,,
5.2,no,,,,,,
5.2,no,,,,,,
4.7,no,,,,,,
4.8,no,,,,,,
5.4,no,,,,,,
5.2,no,,,,,,
5.5,no,,,,,,
4.9,no,,,,,,
5,no,,,,,,
5.5,no,,,,,,
4.9,no,,,,,,
4.4,no,,,,,,
5.1,no,,,,,,
5,no,,,,,,
4.5,no,,,,,,
4.4,no,,,,,,
5,no,,,,,,
5.1,no,,,,,,
4.8,no,,,,,,
5.1,no,,,,,,
4.6,no,,,,,,
5.3,no,,,,,,
5,no,,,,,,
7,no,,,,,,
6.4,no,,,,,,
6.9,no,,,,,,
5.5,no,,,,,,
6.5,no,,,,,,
5.7,no,,,,,,
6.3,no,,,,,,
4.9,no,,,,,,
6.6,no,,,,,,
5.2,no,,,,,,
5,no,,,,,,
5.9,no,,,,,,
6,no,,,,,,
6.1,no,,,,,,
5.6,no,,,,,,
6.7,no,,,,,,
5.6,no,,,,,,
5.8,no,,,,,,
6.2,no,,,,,,
5.6,no,,,,,,
5.9,no,,,,,,
6.1,no,,,,,,
6.3,no,,,,,,
6.1,no,,,,,,
6.4,no,,,,,,
6.6,no,,,,,,
6.8,no,,,,,,
6.7,no,,,,,,
6,no,,,,,,
5.7,no,,,,,,
5.5,no,,,,,,
5.5,no,,,,,,
5.8,no,,,,,,
6,no,,,,,,
5.4,no,,,,,,
6,no,,,,,,
6.7,no,,,,,,
6.3,no,,,,,,
5.6,no,,,,,,
5.5,no,,,,,,
5.5,no,,,,,,
6.1,no,,,,,,
5.8,no,,,,,,
5,no,,,,,,
5.6,no,,,,,,
5.7,no,,,,,,
5.7,no,,,,,,
6.2,no,,,,,,
5.1,no,,,,,,
5.7,no,,,,,,
6.3,no,,,,,,
5.8,no,,,,,,
7.1,no,,,,,,
6.3,no,,,,,,
6.5,no,,,,,,
7.6,no,,,,,,
4.9,no,,,,,,
7.3,no,,,,,,
6.7,no,,,,,,
7.2,no,,,,,,
6.5,no,,,,,,
6.4,no,,,,,,
6.8,no,,,,,,
5.7,no,,,,,,
5.8,no,,,,,,
6.4,no,,,,,,
6.5,no,,,,,,
7.7,no,,,,,,
7.7,no,,,,,,
6,no,,,,,,
6.9,no,,,,,,
5.6,no,,,,,,
7.7,no,,,,,,
6.3,no,,,,,,
6.7,no,,,,,,
7.2,no,,,,,,
6.2,no,,,,,,
6.1,no,,,,,,
6.4,no,,,,,,
7.2,no,,,,,,
7.4,no,,,,,,
7.9,no,,,,,,
6.4,no,,,,,,
6.3,no,,,,,,
6.1,no,,,,,,
7.7,no,,,,,,
6.3,no,,,,,,
6.4,no,,,,,,
6,no,,,,,,
6.9,no,,,,,,
6.7,no,,,,,,
6.9,no,,,,,,
5.8,no,,,,,,
6.8,no,,,,,,
6.7,no,,,,,,
6.7,no,,,,,,
6.3,no,,,,,,
6.5,no,,,,,,
6.2,no,,,,,,
5.9,no,,,,,,
